"Word","Verse"
"itself","John 15:4"
"withers","John 15:6"
"wish","John 15:7"
"showing","John 15:8"
"business","John 15:15"
"master’s","John 15:15"
"appointed","John 15:16"
"choose","John 15:16"
"belonged","John 15:19"
"persecuted","John 15:20"
"treat","John 15:21"
"excuse","John 15:22"
"fall","John 16:1"
"service","John 16:2"
"offering","John 16:2"
"kills","John 16:2"
"warned","John 16:4"
"guide","John 16:13"
"grieve","John 16:20"
"rejoices","John 16:20"
"weep","John 16:20"
"anguish","John 16:21"
"forgets","John 16:21"
"baby","John 16:21"
"pain","John 16:21"
"giving","John 16:21"
"rejoice","John 16:22"
"use","John 16:25"
"figuratively","John 16:25"
"figures","John 16:29"
"clearly","John 16:29"
"makes","John 16:30"
"questions","John 16:30"
"heart","John 16:33"
"trouble","John 16:33"
"prayed","John 17:1"
"finishing","John 17:4"
"certainty","John 17:8"
"destruction","John 17:12"
"doomed","John 17:12"
"safe","John 17:12"
"protected","John 17:12"
"measure","John 17:13"
"sanctified","John 17:19"
"unity","John 17:23"
"creation","John 17:24"
"Righteous","John 17:25"
"continue","John 17:26"
"Valley","John 18:1"
"Kidron","John 18:1"
"often","John 18:2"
"betrayed","John 18:2"
"weapons","John 18:3"
"lanterns","John 18:3"
"torches","John 18:3"
"guiding","John 18:3"
"traitor","John 18:5"
"Malchus","John 18:10"
"servant’s","John 18:10"
"cutting","John 18:10"
"struck","John 18:10"
"cup","John 18:11"
"arrested","John 18:12"
"commander","John 18:12"
"father-in-law","John 18:13"
"advised","John 18:14"
"courtyard","John 18:15"
"duty","John 18:16"
"girl","John 18:16"
"door","John 18:16"
"wait","John 18:16"
"warm","John 18:18"
"cold","John 18:18"
"synagogues","John 18:20"
"demanded","John 18:22"
"strike","John 18:23"
"cut","John 18:26"
"relative","John 18:26"
"crow","John 18:27"
"moment","John 18:27"
"able","John 18:28"
"uncleanness","John 18:28"
"avoid","John 18:28"
"governor","John 18:28"
"Roman","John 18:28"
"charges","John 18:29"
"criminal","John 18:30"
"execute","John 18:31"
"talk","John 18:34"
"prevent","John 18:36"
"fight","John 18:36"
"prisoner","John 18:39"
"custom","John 18:39"
"uprising","John 18:40"
"flogged","John 19:1"
"clothed","John 19:2"
"twisted","John 19:2"
"Hail","John 19:3"
"wearing","John 19:5"
"according","John 19:7"
"either","John 19:10"
"opposes","John 19:12"
"claims","John 19:12"
"Gabbatha","John 19:13"
"Pavement","John 19:13"
